Genetic Cores: 20, Tasks: 41
N;Best;Avg
0;89;155.409
1;89;120.969
2;87;107.094
3;87;101.194
4;85;97.8129
5;85;94.8841
6;82;93.4493
7;82;92.3932
8;82;92.0168
9;80;91.3422
10;80;91.0339
11;79;90.4527
12;79;89.4624
13;79;88.9046
14;77;87.9115
15;77;86.6359
16;72;85.7071
17;72;85.3493
18;72;84.79
19;72;84.0424
20;72;83.63
21;72;83.1366
22;72;82.6134
23;72;82.3049
24;72;82.3202
25;71;82.1278
26;71;81.9588
27;71;81.7649
28;71;81.5463
29;71;81.3978
30;71;81.1637
31;71;81.3546
32;70;80.921
33;70;80.8039
34;70;80.74
35;70;80.4483
36;70;80.7885
37;70;80.5029
38;70;80.4549
39;70;80.3812
40;70;80.3812
41;70;80.1324
42;70;79.7646
43;69;79.5971
44;69;79.7159
45;69;79.5012
46;69;79.259
47;69;79.4356
48;69;79.0341
49;69;79.0478
50;69;79.0937
51;69;78.9446
52;69;79.198
53;69;79.0844
54;69;78.7846
55;69;78.8256
56;69;78.5437
57;69;78.3344
58;69;78.4578
59;69;78.5434
60;69;78.32
61;68;78.4663
62;68;78.2827
63;68;78.4424
64;68;78.0324
65;68;78.1298
66;68;78.1195
67;68;78.0371
68;68;78.2727
69;68;77.9905
70;68;77.7937
71;68;77.6632
72;68;77.8993
73;68;77.7976
74;68;77.4183
75;68;77.712
76;68;77.212
77;68;77.5585
78;68;77.3798
79;68;77.0673
80;68;76.8493
81;68;77.2385
82;67;76.7778
83;67;76.9995
84;67;77.1032
85;67;77.0459
86;67;76.5727
87;67;76.972
88;67;76.7217
89;67;76.3527
90;67;76.5771
91;67;76.679
92;67;76.4651
93;67;76.0802
94;67;76.1063
95;67;76.3227
96;67;76.1678
97;67;76.2346
98;67;76.2263
99;67;76.1102
100;67;76.0817
101;67;76.4617
102;67;76.1285
103;67;76.0641
104;67;76.1273
105;67;76.3376
106;67;76.2366
107;67;76.1602
108;67;76.199
109;67;75.922
110;67;76.3373
111;67;75.9539
112;67;76.0861
113;67;76.2688
114;67;75.9407
115;67;76.1395
116;67;76.4751
117;67;76.1895
118;67;75.9661
119;67;76.2063
120;67;76.24
121;67;76.1598
122;67;76.1749
123;67;76.1832
124;67;76.2185
125;67;76.169
126;67;76.1934
127;67;75.902
128;67;75.7507
129;67;76.099
130;67;76.0307
131;67;76.1066
132;67;75.7502
133;67;76.0417
134;67;75.9759
135;67;75.6693
136;67;75.6759
137;67;75.8388
138;67;75.9156
139;67;75.9824
140;67;75.9146
141;67;75.8337
142;67;75.9085
143;67;75.8349
144;67;75.6824
145;67;75.5722
146;67;75.5061
147;67;75.869
148;67;75.7424
149;67;75.8471
150;67;75.9663
151;67;76.0724
152;67;75.8098
153;67;75.7776
154;67;75.9268
155;67;75.8312
156;67;76.2417
157;67;75.8266
158;67;76.0627
159;67;75.7693
160;67;75.9198
161;67;75.391
162;67;75.5849
163;67;75.6924
164;67;75.431
165;67;75.6507
166;67;75.95
167;67;75.8937
168;67;75.8659
169;67;75.7288
170;67;75.3188
171;67;75.5854
172;67;75.5834
173;67;75.612
174;67;75.6922
175;67;75.6963
176;67;75.5315
177;67;75.4671
178;67;75.5027
