Genetic Cores: 25, Tasks: 198
N;Best;Avg
0;4592;6901.15
1;4592;6359.56
2;4381;5968.29
3;4447;5603.83
4;4431;5288.41
5;4214;5108.16
6;4196;4949.84
7;4205;4787.98
8;4048;4675.68
9;4027;4560.4
10;4027;4484.89
11;4007;4463.12
12;4007;4440.33
13;3971;4369.06
14;3928;4325.37
15;3928;4305.74
16;3927;4286.3
17;3927;4264.56
18;3918;4243.88
19;3874;4232.44
20;3874;4221.45
21;3871;4209.66
22;3839;4179.45
23;3826;4176.2
24;3826;4169.5
25;3811;4156.35
26;3791;4146.99
27;3786;4138.6
28;3778;4126.96
29;3778;4104.99
30;3762;4099.65
31;3746;4093.27
32;3744;4097.69
33;3741;4082.36
34;3735;4077.44
35;3735;4077.89
36;3734;4068.37
37;3729;4058.22
38;3728;4048.74
39;3707;4054.21
40;3700;4051.96
41;3700;4041.94
42;3700;4042.52
43;3674;4041.6
44;3674;4033.63
45;3671;4029.95
46;3674;4024.78
47;3654;4025.95
48;3651;4018.25
49;3651;4012.89
50;3651;4010.24
51;3645;4006.99
52;3645;3999.88
53;3642;3995.44
54;3642;3994.44
55;3642;3995.37
56;3636;3998.27
57;3636;4001.57
58;3632;3987.84
59;3632;3985.79
60;3632;3987.57
61;3632;3983.24
62;3632;3984.95
63;3632;3979.85
64;3632;3980.37
65;3631;3976.99
66;3631;3973.42
67;3630;3973.95
68;3627;3974.42
69;3627;3967.8
70;3621;3967.23
71;3621;3966.02
72;3621;3967.16
73;3621;3969.48
74;3621;3966.08
75;3621;3965.99
76;3614;3965.22
77;3614;3978.07
78;3614;3966.9
79;3611;3970
80;3604;3968.09
81;3604;3962.33
82;3604;3964.83
83;3604;3961.21
84;3604;3958.53
85;3604;3953
86;3604;3951.41
87;3602;3953.59
88;3596;3953.23
89;3589;3952.02
90;3589;3941.32
91;3589;3960.3
92;3579;3945.38
93;3579;3950.08
94;3576;3956.31
95;3570;3949.63
96;3570;3952.96
97;3570;3949.92
98;3570;3945.43
99;3570;3943.43
100;3570;3948.49
101;3570;3947.13
102;3570;3951.18
103;3570;3948.11
104;3570;3953.28
105;3570;3948.99
106;3570;3948.74
107;3570;3947.84
108;3570;3951.89
109;3570;3943.37
110;3570;3945.06
111;3570;3944.41
112;3570;3942.44
113;3570;3933.4
114;3570;3936.09
115;3570;3943.58
116;3570;3935.88
117;3570;3932.37
118;3570;3938.19
119;3570;3937.78
120;3570;3935.33
121;3570;3938.17
122;3570;3933.38
123;3570;3936.12
124;3570;3937.4
125;3570;3937.04
126;3570;3942.33
127;3570;3943.51
128;3570;3935.28
129;3570;3939.77
