Genetic Cores: 50, Tasks: 101
N;Best;Avg
0;296;457.249
1;254;417.828
2;275;398.169
3;255;379.843
4;267;364.234
5;254;343.317
6;252;322.963
7;252;306.068
8;240;298.341
9;240;290.969
10;234;284.389
11;234;279.356
12;234;277.38
13;234;276.303
14;228;273.431
15;233;270.487
16;228;267.486
17;227;265.035
18;227;263.391
19;227;260.665
20;227;259.371
21;227;256.604
22;227;256.327
23;226;255.684
24;224;255.007
25;224;253.418
26;218;252.334
27;218;251.232
28;218;250.698
29;218;249.49
30;218;248.534
31;218;248.692
32;214;248.028
33;214;247.107
34;214;246.733
35;211;245.888
36;211;244.696
37;211;244.598
38;210;244.05
39;206;243.336
40;206;241.478
41;206;239.871
42;206;238.426
43;206;237.178
44;206;236.112
45;206;236.33
46;206;235.038
47;206;233.595
48;205;233.654
49;205;232.797
50;204;232.347
51;204;232.539
52;203;231.569
53;203;230.443
54;202;230.279
55;202;230.146
56;202;229.941
57;200;229.593
58;200;229.351
59;200;228.274
60;199;228.032
61;199;228.381
62;198;227.383
63;198;227.416
64;198;226.911
65;198;225.936
66;198;225.527
67;197;225.672
68;197;225.61
69;196;225.167
70;196;225.237
71;195;224.938
72;195;225.19
73;195;224.275
74;195;223.898
75;194;224.137
76;194;223.884
77;194;223.474
78;192;223.613
79;192;223.196
80;192;222.683
81;192;223.108
82;192;222.048
83;192;221.291
84;192;221.985
85;191;221.204
86;189;221.24
87;189;221.559
88;189;221.014
89;189;220.445
90;187;220.22
91;187;219.948
92;187;220.063
93;187;219.511
94;187;219.437
95;185;219.29
96;185;218.706
97;185;218.574
98;185;218.416
99;185;217.89
100;185;217.802
101;185;217.215
102;185;217.633
103;185;217.06
104;185;216.922
105;185;216.721
106;185;216.738
107;185;216.668
108;185;216.38
109;185;215.858
110;185;215.743
111;185;215.856
112;185;216.031
113;185;215.721
114;185;215.684
115;185;215.762
116;185;215.576
117;185;215.208
118;185;215.388
119;184;215.437
120;184;215.474
121;184;215.401
122;184;214.787
123;184;214.472
124;184;215.008
125;184;215.157
126;184;214.774
127;184;214.559
128;184;215.42
129;184;214.6
130;184;214.781
131;184;215.007
132;184;214.538
133;184;214.796
134;184;214.775
135;184;214.4
136;184;214.28
137;184;214.055
138;184;214.079
139;184;213.588
140;184;213.633
141;184;213.851
142;184;214.215
143;184;214.018
144;184;213.359
145;184;213.833
146;184;213.897
147;184;213.792
148;184;213.213
149;183;213.121
150;183;212.921
151;183;213.58
152;183;212.643
153;183;212.318
154;182;212.744
155;180;212.517
156;180;212.474
157;180;212.287
158;180;213.027
159;180;211.705
160;180;211.975
161;180;212.375
162;180;212.225
163;180;212.108
164;180;212.036
165;180;211.442
166;180;211.745
167;180;211.479
168;180;212.89
169;180;212.318
170;180;211.747
171;180;211.609
172;180;212.114
173;180;212.068
174;180;212.577
175;180;212.182
176;180;211.92
177;179;211.439
178;179;212.104
179;179;212.001
180;179;211.293
181;179;211.003
182;179;211.896
183;179;211.877
184;179;212.09
185;179;211.337
186;179;210.923
187;179;210.638
188;179;211.42
189;179;211.61
190;179;211.711
191;179;212.057
192;179;212.031
193;179;211.528
194;179;211.427
195;179;211.335
196;179;211.255
197;179;211.099
198;179;211.148
199;179;211.18
200;179;211.165
201;179;211.825
202;179;211.547
203;179;211.066
204;179;211.287
205;179;210.853
206;179;211.285
207;179;211.231
208;179;210.89
209;179;211.173
210;179;211.412
211;179;211.127
212;179;211.1
213;178;210.821
214;178;210.364
215;178;210.517
216;178;210.891
217;178;209.827
218;178;211.069
219;178;210.765
220;178;210.462
221;178;210.123
222;178;210.585
223;178;209.525
224;178;211.184
225;178;210.749
226;178;210.572
227;178;210.563
228;178;210.055
229;178;209.632
230;178;210.238
231;178;210.55
232;178;210.074
233;178;210.357
234;178;210.46
235;178;210.569
236;178;210.792
237;178;210.617
238;178;210.516
239;178;210.075
240;178;210.806
241;178;210.946
242;178;210.293
243;178;210.176
244;178;209.906
245;178;210.428
246;178;210.687
247;178;210.663
248;178;210.341
249;178;210.321
250;178;210.39
251;178;210.015
252;178;210.569
253;178;210.14
254;178;209.799
255;178;210.173
256;178;210.301
257;178;209.512
258;178;210.096
259;178;211.004
260;178;210.23
261;178;210.499
262;178;210.011
263;178;210.131
264;178;209.441
265;178;210.046
266;178;209.571
267;178;210.315
268;178;209.83
269;178;209.307
270;178;209.951
271;178;209.874
272;178;209.437
273;178;209.408
274;178;209.339
275;178;209.414
276;178;209.116
277;178;209.046
278;178;209.48
279;178;209.407
280;178;208.885
281;178;208.926
282;178;210.139
283;178;209.095
284;178;208.996
285;178;209.787
286;178;209.07
287;178;209.332
288;178;209.506
289;178;209.531
290;178;209.137
291;178;209.718
292;178;209.048
293;178;209.742
294;178;209.742
295;178;209.346
296;178;209.12
297;178;208.519
298;178;209.628
299;178;209.738
300;178;209.125
301;178;209.259
302;178;208.937
303;178;209.104
304;178;209.145
305;178;209.458
306;178;208.578
307;178;209.594
308;178;209.061
309;178;209.455
310;178;209.175
311;178;208.985
312;178;209.594
313;178;210.136
314;178;209.154
315;178;209.05
316;178;208.65
317;178;209.284
318;178;208.967
319;178;209.011
320;178;209.309
321;178;209.367
322;178;209.132
323;178;209.067
324;178;209.171
325;178;209.868
326;178;208.948
327;178;208.744
328;178;208.889
329;178;209.183
330;178;208.483
331;178;208.844
332;178;208.631
333;178;209.106
334;178;208.853
335;178;208.136
336;178;208.442
337;178;208.664
338;178;208.411
339;178;208.347
340;178;207.979
341;178;208.537
342;178;208.343
343;178;208.504
344;178;208.177
345;178;208.522
346;178;209.123
347;178;208.754
348;178;208.195
349;178;208.284
350;178;208.422
351;178;208.078
352;178;208.671
353;178;208.267
354;178;208.54
355;178;208.575
356;178;208.045
357;178;208.63
358;178;208.352
359;178;208.282
360;178;207.793
361;178;207.529
362;178;208.178
363;178;208.221
364;178;208.706
365;178;207.92
366;178;207.838
367;178;208.019
368;178;207.912
369;178;208.318
370;178;208.35
371;178;208.246
372;178;208.004
373;178;207.694
374;178;208.506
375;178;208.158
376;178;208.316
377;178;208.282
378;178;208.623
379;178;208.605
380;178;208.588
381;178;208.052
382;178;208.573
383;178;208.191
384;178;207.757
385;178;207.354
386;178;208.606
387;178;208.247
388;178;207.823
389;178;207.988
390;178;208.52
391;178;208.211
392;178;207.978
393;178;208.156
394;178;208.667
395;178;207.702
396;178;208.309
397;178;208.217
398;178;208.23
399;178;208.018
400;178;208.283
401;178;208.035
402;178;208.162
403;178;208.232
404;178;208.691
405;178;208.103
406;178;208.381
407;178;207.998
408;177;208.147
409;176;208.295
410;176;208.181
411;176;208.078
412;176;207.652
413;176;208.431
414;176;207.873
415;176;208.054
416;176;208.433
417;176;208.492
418;176;208.395
419;176;208.148
420;176;207.805
421;176;208.499
422;176;207.746
423;176;208.312
424;176;207.679
425;176;207.793
426;176;208.11
427;176;208.163
428;176;208.121
429;176;208.274
430;176;208.052
431;176;208.187
432;176;208.359
433;176;207.029
434;176;208.235
435;176;207.454
436;176;208.037
437;176;208.123
438;176;208.335
439;176;207.528
