Genetic Cores: 50, Tasks: 200
N;Best;Avg
277;2169;2552.26
278;2169;2550.03
279;2169;2549.96
280;2169;2548.65
281;2169;2554.29
282;2169;2545.47
283;2169;2549.53
284;2169;2550.55
285;2169;2555.79
286;2169;2553.7
287;2169;2548.22
288;2169;2560.35
289;2169;2554.46
290;2169;2551.79
291;2169;2552.56
292;2169;2548.22
293;2169;2548.86
294;2169;2549.21
295;2169;2554.83
296;2169;2552.46
297;2169;2546.5
298;2169;2552.39
299;2169;2549.5
300;2169;2539.22
301;2169;2543.16
302;2169;2550.07
303;2169;2545.16
304;2169;2549.61
305;2169;2544.74
306;2169;2551.73
307;2169;2542.61
308;2169;2554.92
309;2169;2543.34
310;2169;2545.13
311;2169;2549.75
312;2169;2544.54
313;2169;2542.99
314;2169;2545.49
315;2169;2548.11
316;2169;2544.52
317;2169;2544.7
318;2169;2544.21
319;2169;2544.37
320;2169;2545.98
321;2169;2537.47
322;2169;2546.07
323;2169;2543.16
324;2169;2545.8
325;2169;2544.91
326;2169;2538.65
327;2169;2545.71
328;2169;2543.48
329;2169;2545.65
330;2169;2543.34
331;2169;2535.41
332;2169;2544
333;2169;2543.68
334;2169;2537.52
335;2169;2538.73
336;2169;2537.85
337;2161;2544.57
338;2161;2536.16
339;2161;2533.95
340;2161;2536.44
341;2161;2530.1
342;2161;2540.99
343;2161;2534.16
344;2161;2537.64
345;2161;2534.54
346;2161;2538
347;2161;2533.05
348;2161;2531.02
349;2161;2534.99
350;2161;2537.76
351;2161;2537.26
352;2161;2540.42
353;2161;2530.13
354;2161;2532.76
355;2161;2531.28
356;2161;2532.2
357;2161;2531.27
358;2161;2535.07
359;2161;2528.67
360;2161;2532.84
361;2161;2532.99
362;2161;2524.26
363;2161;2532.17
364;2161;2529.46
365;2161;2531.61
366;2161;2523.67
367;2161;2530.72
368;2161;2530.06
369;2161;2524.36
370;2161;2531.82
371;2161;2524.12
372;2161;2528.46
373;2161;2525.76
374;2154;2529.6
375;2154;2524.03
376;2154;2529.78
377;2154;2534.96
378;2154;2531.04
379;2154;2524.94
380;2154;2525.39
381;2154;2526.74
382;2154;2523.97
383;2154;2519.21
384;2154;2519.68
385;2154;2521.79
386;2154;2523.23
387;2154;2515.17
388;2154;2521.29
389;2154;2520.84
390;2154;2523.21
391;2154;2523.94
392;2154;2532.6
393;2154;2522.03
394;2154;2521.6
395;2154;2525.54
396;2154;2524.72
397;2154;2527.17
398;2154;2523.84
399;2154;2518.99
400;2154;2522.69
401;2154;2522.79
402;2154;2525.9
403;2154;2525.53
404;2154;2524.45
405;2154;2524.72
406;2154;2528.09
407;2154;2522.49
408;2154;2518.35
409;2154;2522.96
410;2154;2523.31
411;2154;2526.27
412;2154;2520.59
413;2154;2522.64
414;2154;2518.98
415;2154;2511.66
416;2154;2517.3
417;2154;2518.39
418;2154;2517.33
419;2154;2522.17
420;2154;2515.24
421;2154;2516.8
422;2154;2517.94
423;2154;2514.65
424;2154;2516.62
425;2154;2515.87
426;2154;2519.49
427;2154;2508.98
428;2154;2513.88
429;2154;2512.17
