Genetic Cores: 10, Tasks: 21
N;Best;Avg
313;33;35.7414
314;33;35.9152
315;33;35.8771
316;33;35.9319
317;33;35.799
318;33;35.9876
319;33;35.8033
320;33;35.6586
321;33;35.691
322;33;35.9833
323;33;35.6476
324;33;35.711
325;33;35.7867
326;33;35.8005
327;33;35.8152
328;33;35.8286
329;33;35.9152
330;33;35.8995
331;33;35.8052
332;33;35.7333
333;33;35.8071
334;33;35.9643
335;33;35.7819
336;33;35.6833
337;33;35.721
338;33;35.8676
339;33;35.8619
340;33;35.8224
341;33;35.8338
342;33;35.579
343;33;35.6319
344;33;35.8076
345;33;35.7833
346;33;35.7286
347;33;35.7162
348;33;35.7614
349;33;35.6414
350;33;35.7571
351;33;35.6848
352;33;35.6524
353;33;35.5438
354;33;35.519
355;33;35.6667
356;33;35.7214
357;33;35.5438
358;33;35.55
359;33;35.5076
360;33;35.4638
361;33;35.8486
362;33;35.6605
363;33;35.7586
364;33;35.6119
365;33;35.621
366;33;35.7357
367;33;35.5976
368;33;35.6752
369;33;35.6519
370;33;35.7524
371;33;35.4567
372;33;35.5843
373;33;35.5119
374;33;35.5595
375;33;35.4243
376;33;35.55
377;33;35.7862
378;33;35.6238
379;33;35.7157
380;33;35.4176
381;33;35.5857
382;33;35.4871
383;33;35.6695
384;33;35.6057
385;33;35.4924
386;33;35.5762
387;33;35.4129
388;33;35.54
389;33;35.3357
390;33;35.6948
391;33;35.5471
392;33;35.6419
393;33;35.4771
394;33;35.5148
395;33;35.6786
396;33;35.5152
397;33;35.4943
398;33;35.6948
399;33;35.3943
400;33;35.5476
401;33;35.5295
402;33;35.6548
403;33;35.6457
404;33;35.359
405;33;35.4471
406;33;35.4705
407;32;35.5586
408;32;35.5657
409;32;35.4081
410;32;35.3481
411;32;35.4476
412;32;35.2686
413;32;35.3833
414;32;35.5414
415;32;35.4148
416;32;35.291
417;32;35.4481
418;32;35.2843
419;32;35.4876
420;32;35.3533
421;32;35.5514
422;32;35.6671
423;32;35.2076
424;32;35.369
425;32;35.35
426;32;35.5676
427;32;35.3448
428;32;35.4857
429;32;35.4405
430;32;35.5
431;32;35.4424
432;32;35.3629
433;32;35.381
434;32;35.3667
435;32;35.3714
436;32;35.3038
437;32;35.4086
438;32;35.4938
439;32;35.4533
440;32;35.4438
441;32;35.3514
442;32;35.4157
443;32;35.4414
444;32;35.4329
445;32;35.4681
446;32;35.3357
447;32;35.35
448;32;35.3076
449;32;35.2138
450;32;35.2933
451;32;35.2667
452;32;35.1762
453;32;35.4957
454;32;35.1305
455;32;35.2738
456;32;35.3552
457;32;35.301
458;32;35.3195
459;32;35.2343
460;32;35.1929
461;32;35.1319
462;32;35.259
463;32;35.2376
464;32;35.2452
465;32;35.1833
466;32;35.3371
467;32;34.8895
468;32;35.1762
469;32;35.1129
470;32;35.2062
471;32;35.251
472;32;35.2638
473;32;35.2662
474;32;35.1014
475;32;35.1986
476;32;35.2762
477;32;35.1695
478;32;35.1729
479;32;35.1543
480;32;35.3995
481;32;35.179
482;32;35.2814
483;32;35.2881
484;32;35.2029
485;32;35.2205
486;32;35.2005
487;32;35.1176
488;32;35.2019
489;32;35.1105
490;32;35.2638
491;32;35.1905
492;32;35.2243
493;32;35.1962
494;32;35.3319
495;32;35.2157
496;32;35.1648
497;32;35.201
498;32;35.2371
499;32;35.15

