Genetic Cores: 50, Tasks: 1000
N;Best;Avg
0;12742;16256.9
1;12521;14434.4
2;12186;13771.1
3;12145;13316.3
4;11926;13079.3
5;11822;12750.1
6;11780;12607
7;11656;12504.6
8;11656;12327.3
9;11632;12225.8
10;11550;12154
11;11494;12126
12;11455;12097.1
13;11434;12046
14;11434;12000.5
15;11308;11953.2
16;11377;11947
17;11273;11920.3
18;11273;11893.5
19;11203;11853.1
20;11203;11843.7
21;11203;11814.7
22;11191;11784.3
23;11144;11766.7
24;11122;11731.9
25;11065;11705.5
26;11048;11689.9
27;10949;11653.3
28;10949;11637.5
29;10949;11625.2
30;10949;11613.3
31;10949;11611.3
32;10949;11585.2
33;10935;11576.2
34;10935;11584.9
35;10926;11561.2
36;10926;11553
37;10926;11547.9
38;10926;11540.3
39;10926;11518.9
40;10926;11516.1
41;10926;11514.6
42;10926;11511.7
43;10871;11504.5
44;10871;11490.8
45;10871;11479.9
46;10829;11464.5
47;10829;11461.8
48;10829;11455.1
49;10829;11439.6
50;10829;11445.3
51;10785;11435.7
52;10785;11424.1
53;10785;11409.3
54;10785;11402.1
55;10785;11397
56;10785;11401.8
57;10785;11403.1
58;10785;11388.9
59;10785;11387.5
60;10785;11377.9
61;10785;11383.3
62;10785;11369
63;10785;11369.6
64;10785;11359.6
65;10775;11358.8
66;10775;11359.5
67;10775;11363.1
68;10775;11356.9
69;10775;11356.5
70;10775;11356.6
71;10775;11339.1
72;10775;11332.6
73;10775;11341.1
74;10775;11324.6
75;10775;11328.9
76;10775;11317.4
77;10775;11313.9
78;10775;11314
79;10726;11314.1
80;10726;11308
81;10726;11308.2
82;10726;11302.8
83;10726;11309.2
84;10726;11299.3
85;10726;11286.7
86;10699;11293.2
87;10698;11278.6
88;10698;11270.3
89;10698;11268.3
90;10698;11260.8
91;10698;11250.4
92;10698;11259.6
93;10698;11240
94;10698;11227.4
95;10698;11228.8
96;10651;11219.9
97;10651;11215.7
98;10651;11214
99;10651;11204.6
100;10651;11212.9
101;10554;11217.7
102;10554;11203.2
103;10554;11197.9
104;10554;11188.8
105;10554;11192.4
106;10554;11185
107;10554;11183.2
108;10554;11178.4
109;10554;11175
110;10554;11179.7
111;10554;11176.1
112;10554;11170.5
113;10554;11162.1
114;10554;11155.1
115;10554;11161.1
116;10554;11155.6
117;10554;11155.6
118;10511;11147.2
119;10511;11151.4
120;10511;11157.2
121;10511;11139.3
122;10511;11140.9
123;10511;11140.5
124;10511;11143.6
125;10511;11139.1
126;10511;11139.2
127;10511;11136.8
128;10511;11133.9
129;10511;11136.4
130;10511;11142.7
131;10511;11138.3
132;10511;11129.9
133;10511;11135.2
134;10511;11141.8
135;10511;11142.6
136;10511;11135.1
137;10511;11134.8
138;10511;11138.3
139;10511;11140
140;10511;11143.9
141;10511;11137
142;10511;11143.7
143;10511;11135
144;10511;11128.9
145;10511;11126
146;10511;11124.2
147;10511;11128.3
148;10511;11126
149;10511;11116.6
150;10511;11118.7
151;10511;11125
152;10511;11115.6
153;10511;11117.5
154;10511;11118.5
155;10511;11110.5
156;10511;11116.9
157;10511;11124.5
158;10511;11120.9
159;10511;11118.4
160;10511;11117.8
161;10511;11122.7
162;10511;11110.8
163;10502;11111.7
164;10502;11114.5
165;10502;11120.7
166;10502;11118.9
167;10502;11118
168;10502;11113.4
169;10502;11121.6
170;10502;11120.4
171;10502;11126.9
172;10502;11111.8
173;10502;11113.8
174;10502;11104.9
175;10502;11119.6
176;10502;11108.2
177;10502;11118.8
178;10502;11112.3
179;10502;11122.1
180;10502;11110.1
181;10502;11110
182;10502;11114.4
183;10502;11109.9
184;10502;11111.7
185;10488;11108.7
186;10488;11105.1
187;10488;11115.3
188;10488;11109.1
189;10488;11105.7
190;10488;11104.1
191;10488;11103.4
192;10488;11099.3
193;10488;11098.5
194;10488;11108.6
195;10488;11095.5
196;10488;11102.6
197;10488;11099.5
198;10488;11098.2
199;10488;11103.6
200;10488;11101.4
201;10488;11091.3
202;10488;11091.6
203;10488;11082.8
204;10488;11088.6
205;10488;11080.2
206;10488;11083.8
207;10488;11087.4
