Genetic Cores: 50, Tasks: 200
N;Best;Avg
0;1690;2505.37
1;1612;2312.92
2;1570;2202.51
3;1580;2089.53
4;1531;1949.75
5;1515;1847.15
6;1497;1768.11
7;1476;1696.61
8;1434;1660.99
9;1434;1644.54
10;1414;1622.26
11;1414;1588.62
12;1397;1569.41
13;1373;1554.84
14;1370;1540.64
15;1364;1527.87
16;1359;1516.39
17;1359;1505.02
18;1338;1500.37
19;1323;1494.52
20;1323;1477.26
21;1313;1474.3
22;1312;1463.67
23;1312;1459.67
24;1262;1455.17
25;1271;1447.15
26;1262;1439.24
27;1257;1430.02
28;1252;1414.41
29;1241;1407.22
30;1241;1401.85
31;1228;1395.32
32;1228;1393.55
33;1221;1390.75
34;1221;1389.97
35;1214;1386.74
36;1214;1387.52
37;1214;1383.69
38;1199;1377.27
39;1199;1376.86
40;1199;1375.42
41;1199;1372.73
42;1199;1373.86
43;1199;1372.2
44;1199;1365.68
45;1194;1365.92
46;1194;1362.52
47;1185;1359.11
48;1185;1358.86
49;1185;1357.78
50;1185;1353.72
51;1185;1354.02
52;1185;1352.21
53;1185;1349.89
54;1185;1349.17
55;1183;1345.28
56;1183;1349.39
57;1183;1345.1
58;1179;1343.75
59;1177;1339.97
60;1177;1340.85
61;1172;1339.07
62;1172;1334.76
63;1165;1335.94
64;1165;1332.3
65;1165;1329.14
66;1165;1329.25
67;1165;1325.63
68;1164;1324.39
69;1164;1324.54
70;1164;1324.45
71;1159;1319.45
72;1159;1316.57
73;1151;1320.34
74;1151;1315.58
75;1143;1314.43
76;1143;1313.61
77;1141;1311.97
78;1141;1310.15
79;1141;1312.53
80;1141;1312.54
81;1141;1308.75
82;1141;1307.16
83;1141;1311.71
84;1141;1308.12
85;1140;1309.14
86;1140;1305.14
87;1140;1306.19
88;1133;1304.01
89;1133;1303.62
90;1133;1302.1
91;1133;1301.38
92;1133;1301.77
93;1128;1302.31
94;1128;1298.92
95;1128;1296.78
96;1127;1297.51
97;1127;1298.54
98;1127;1296.47
99;1127;1298.27
100;1127;1299.93
101;1127;1294.45
102;1127;1298.35
103;1127;1298.14
104;1127;1293.25
105;1124;1292.59
106;1125;1292.39
107;1124;1288.98
108;1119;1290.03
109;1119;1287.8
110;1113;1288.98
111;1113;1285.8
112;1112;1286.98
113;1111;1286.36
114;1111;1285.8
115;1111;1282.75
116;1111;1280.94
117;1111;1285.25
118;1111;1283.19
119;1111;1282.24
120;1111;1282.87
121;1102;1279.5
122;1102;1280.3
123;1102;1279.38
124;1102;1279.87
125;1102;1278.56
126;1102;1282.06
127;1102;1277.13
128;1102;1274.31
129;1102;1278.51
130;1100;1279.16
131;1100;1275.26
132;1100;1276.94
133;1100;1278.76
134;1100;1270.34
135;1100;1272.12
136;1100;1273.17
137;1100;1274.56
138;1100;1271.69
139;1100;1272.21
140;1100;1271.32
141;1100;1271.11
142;1100;1274.06
143;1100;1273.07
144;1100;1271.56
145;1100;1268.23
146;1093;1272.03
147;1093;1269.49
148;1093;1272.35
149;1087;1268.11
150;1087;1269.36
151;1087;1267.29
152;1087;1270.48
153;1087;1269.32
154;1087;1269.93
155;1087;1267.45
156;1087;1267.38
157;1087;1268.57
158;1087;1266.07
159;1087;1265.79
160;1087;1269.69
161;1087;1265.42
162;1086;1264.89
163;1086;1264.55
164;1086;1263.21
